year;country;obi;co_code;obi_ebp;obi_eb;obi_cb;obi_pbs;obi_iyr;obi_myr;obi_yer;obi_ar;leg_obi;sai_obi;region;inc_group;di_demtype;gdp_ppp_by;gdp_ppp_obiyear
2006;Afghanistan;;;;;;;;;;;;;;;;;
2006;Albania;24,8901;8;11,1628251647911;1,06859276671996;0;0;7,88438747035159;0;2,92402451974243;1,85027007839489;47,1667;62,625;Eastern Europe & Central Asia;Lower Middle Income;Hybrid Regime;5786;6054
2006;Algeria;28,1957;12;23,3486750004989;0,950840279692069;0;0;0;0;3,89618471980901;0;38,8333;12,5;Middle East & North Africa;Lower Middle Income;Authoritarian Regime;7176;7210
2006;Angola;4,69565;24;0;1,0249890654391;0,40084789914454;0;0;0;3,26981303541636;0;22,25;12,5;Sub-Saharan Africa;Lower Middle Income;Authoritarian Regime;3611;4164
2006;Argentina;39,8261;32;27,8282995733482;1,53012480461402;0;0;6,73205094427708;0;3,73562467776073;0;33,3333;33,375;Latin America & Caribbean;Upper middle income;Flawed Democracy;10819;11623
2006;Azerbaijan;30,0543;31;29,5523034936136;0,501996506386411;0;0;0;0;0;0;22,1667;0;Eastern Europe & Central Asia;Lower Middle Income;Authoritarian Regime;4496;5981
2006;Bangladesh;39,4457;50;33,2935528750505;0,485968417366465;0;0;5,66617870758308;0;0;0;24,9167;37,375;South Asia;Low income;Flawed Democracy;1069;1123
2006;Benin;;;;;;;;;;;;;;;;;
2006;Bolivia;20,6413;68;12,6849843370215;1,4333479884122;0;0;0;0;5,28204551156723;1,24092216299908;50;41,625;Latin America & Caribbean;Lower Middle Income;Flawed Democracy;3757;3857
2006;Bosnia and Herzegovina;;;;;;;;;;;;;;;;;
2006;Botswana;65,2637;72;46,2035341455997;1,02026041687225;0;0;7,95435142118725;0;6,5655723928836;3,5199816234572;50,0833;58,375;Sub-Saharan Africa;Upper middle income;Flawed Democracy;12067;12252
2006;Brazil;73,9348;76;46,110912558134;1,41949262024815;0;3,25931289542115;8,97031686613084;0;10,8935303252515;3,28123473481438;77,75;66,75;Latin America & Caribbean;Upper middle income;Flawed Democracy;8505;8745
2006;Bulgaria;47,2198;100;27,0185469060192;0,990521645073708;0;0;9,74447477811144;0;8,62151094503032;0,844745725765318;36,1667;37,375;Eastern Europe & Central Asia;Upper middle income;Flawed Democracy;8666;9299
2006;Burkina Faso;11,2391;854;0;0,942970715307788;0;0;4,25567788433457;2,1635469506379;3,87690444971974;0;44,5;20,75;Sub-Saharan Africa;Low income;Authoritarian Regime;1040;1060
2006;Cambodia;;;;;;;;;;;;;;;;;
2006;Cameroon;29,337;120;25,1561687328092;0,496340166980517;0;2,31383934262121;0;1,37065175758911;0;0;11;0;Sub-Saharan Africa;Lower Middle Income;Authoritarian Regime;1956;1973
